hair_style,sound_style,has_earring,Class
short,low-pitched,yes,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,low-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,yes,women
long,high-pitched,yes,women
short,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,low-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,yes,men
short,high-pitched,yes,women
short,high-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,yes,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,yes,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,yes,men
short,low-pitched,no,men
short,low-pitched,yes,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,low-pitched,yes,women
short,high-pitched,yes,women
long,high-pitched,yes,women
short,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,low-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,low-pitched,yes,women
short,high-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,low-pitched,yes,women
short,low-pitched,no,men
long,low-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,yes,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,yes,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,yes,women
short,low-pitched,yes,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,low-pitched,yes,men
short,low-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,yes,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,high-pitched,yes,women
long,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,yes,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,yes,women
short,high-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,yes,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,low-pitched,no,men
long,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,yes,women
short,low-pitched,no,men
long,low-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,yes,women
short,low-pitched,yes,men
long,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,yes,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,low-pitched,yes,women
long,low-pitched,yes,women
long,low-pitched,no,men
long,low-pitched,no,men
short,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,yes,men
short,low-pitched,no,men
long,low-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,low-pitched,yes,women
long,low-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,yes,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,low-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,low-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,yes,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,yes,men
short,low-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,high-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,high-pitched,yes,women
long,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,low-pitched,yes,women
short,low-pitched,yes,men
long,low-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,yes,men
short,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,low-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,yes,men
short,low-pitched,no,men
short,low-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,low-pitched,no,men
long,low-pitched,yes,women
short,low-pitched,yes,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,low-pitched,yes,women
short,high-pitched,yes,women
long,low-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,yes,men
short,low-pitched,no,men
long,high-pitched,no,men
short,low-pitched,no,men
short,low-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,yes,men
long,high-pitched,yes,women
long,high-pitched,no,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,high-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,low-pitched,no,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,low-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,yes,women
long,high-pitched,yes,women
short,high-pitched,yes,women
long,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,yes,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,yes,women
long,low-pitched,yes,women
short,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,high-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,yes,men
short,low-pitched,no,men
short,low-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,high-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,low-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,low-pitched,yes,women
long,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,yes,men
short,low-pitched,no,men
long,low-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,high-pitched,yes,women
short,low-pitched,yes,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,yes,men
short,low-pitched,no,men
short,high-pitched,yes,women
short,low-pitched,yes,men
long,low-pitched,yes,women
short,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,high-pitched,no,men
long,high-pitched,yes,women
short,high-pitched,no,men
short,low-pitched,yes,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,high-pitched,yes,women
short,low-pitched,yes,men
short,low-pitched,no,men
short,low-pitched,no,men
short,high-pitched,yes,women
short,low-pitched,no,men
long,low-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,no,women
long,low-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,yes,men
short,low-pitched,no,men
short,high-pitched,yes,women
short,low-pitched,no,men
long,low-pitched,no,men
long,low-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,high-pitched,no,men
short,low-pitched,no,men
short,high-pitched,yes,women
short,low-pitched,no,men
short,high-pitched,yes,women
short,low-pitched,no,men
short,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,low-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,high-pitched,yes,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,yes,men
short,low-pitched,no,men
long,low-pitched,yes,women
long,low-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,yes,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,low-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,yes,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,low-pitched,yes,men
short,low-pitched,no,men
short,low-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,high-pitched,yes,women
long,low-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,high-pitched,yes,women
long,low-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,low-pitched,yes,women
short,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,low-pitched,yes,women
short,high-pitched,yes,women
long,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,no,men
short,low-pitched,no,men
short,high-pitched,yes,women
short,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
long,low-pitched,yes,women
short,low-pitched,yes,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,low-pitched,yes,women
long,low-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,yes,men
short,low-pitched,yes,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,low-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,yes,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,yes,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,low-pitched,no,men
short,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,high-pitched,yes,women
short,low-pitched,yes,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,yes,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,yes,men
short,low-pitched,no,men
short,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,yes,men
short,low-pitched,yes,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,high-pitched,no,men
short,low-pitched,no,men
short,high-pitched,yes,women
long,high-pitched,yes,women
short,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,yes,men
short,low-pitched,no,men
short,high-pitched,no,men
short,low-pitched,no,men
long,low-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,low-pitched,yes,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,high-pitched,no,men
long,high-pitched,yes,women
long,low-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
short,high-pitched,no,men
short,high-pitched,yes,women
long,high-pitched,yes,women
short,high-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,low-pitched,yes,women
short,high-pitched,yes,women
long,low-pitched,yes,men
short,high-pitched,no,men
long,high-pitched,no,women
short,high-pitched,yes,men
long,high-pitched,yes,women
long,high-pitched,no,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,low-pitched,no,men
short,high-pitched,yes,women
long,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
long,low-pitched,no,women
short,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,high-pitched,no,men
long,high-pitched,yes,women
short,high-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,yes,men
long,low-pitched,yes,women
long,low-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,low-pitched,yes,women
short,high-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,low-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,low-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,yes,men
long,low-pitched,yes,women
short,low-pitched,yes,men
long,low-pitched,yes,women
long,low-pitched,yes,women
short,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,high-pitched,no,men
long,low-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,high-pitched,yes,women
short,low-pitched,yes,men
long,high-pitched,yes,women
short,low-pitched,yes,men
long,low-pitched,yes,women
short,low-pitched,yes,men
short,high-pitched,yes,women
long,high-pitched,yes,women
short,high-pitched,yes,women
short,low-pitched,no,men
short,high-pitched,no,men
short,low-pitched,yes,men
short,low-pitched,no,men
short,high-pitched,yes,women
short,high-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,low-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,yes,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,low-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,yes,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,high-pitched,yes,men
long,high-pitched,yes,women
short,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,low-pitched,yes,women
short,high-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,low-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,yes,men
short,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,low-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,low-pitched,no,men
short,low-pitched,yes,men
short,low-pitched,no,men
long,low-pitched,no,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,low-pitched,no,men
short,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,yes,women
short,low-pitched,yes,men
short,low-pitched,no,men
short,low-pitched,no,men
short,high-pitched,yes,women
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,yes,men
short,low-pitched,no,men
long,low-pitched,no,men
long,high-pitched,no,women
short,high-pitched,yes,women
short,low-pitched,yes,men
short,low-pitched,yes,men
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
short,low-pitched,no,men
short,low-pitched,no,men
long,high-pitched,yes,women
long,high-pitched,yes,women
long,high-pitched,yes,women
long,low-pitched,yes,women
short,low-pitched,no,men
long,high-pitched,yes,women
